item-title,r-itemid,pickup,quality,textbox
Technology Zero,ItemID: 524,"""Static tears!""",Quality: 3,Your tears will now be connected together by beams of electricity which deals damage to enemies they hit
Leprosy,ItemID: 525,"""You're tearing me apart!""",Quality: 1,"Taking damage will spawn an orbital that rotates around Isaac, dealing contact damage to enemies and blocking enemy projectiles"
7 Seals,ItemID: 526,"""Lil Harbingers!""",Quality: 2,Gives you a random Harbinger familiar that changes every 10 seconds
Mr. ME!,ItemID: 527,"""Caaan Do!""",Quality: 3,"Upon use, this item summons a ghost near Isaac that will follow him around. Also summons a blue crosshair which can be moved around freely. After a few seconds, the crosshair will disappear, and the Ghost will do certain things based on what you targeted:"
Angelic Prism,ItemID: 528,"""Eclipsed by the moon""",Quality: 3,Grants a prism orbital with a large orbital radius
Pop!,ItemID: 529,"""Eyeball tears!""",Quality: 1,Replaces Isaac's tears with eyeballs that can bounce off of each other
Death's List,ItemID: 530,"""Just hope you're not next""",Quality: 2,"Upon entering a room, a skull appears over a random enemy's head"
Haemolacria,ItemID: 531,"""I'm seeing red...""",Quality: 4,"With Haemolacria, Isaac's tears become bloody and now fire by in the air in an arc"
Lachryphagy,ItemID: 532,"""Feed them!""",Quality: 2,"Isaac's tears slow down over time while moving across the room, and upon stopping completely or hitting an object will burst into 8 smaller tears which fire in all directions"
Trisagion,ItemID: 533,"""Smite thy enemy""",Quality: 3,"Isaac's tears are replaced with piercing holy flashes of light, which travel across the room in a similar speed to regular tears"
Schoolbag,ItemID: 534,"""Extra active item room""",Quality: 3,Gives you an extra active item slot
Blanket,ItemID: 535,"""You feel safe""",Quality: 2,+1 Soul Heart
Sacrificial Altar,ItemID: 536,"""He demands a sacrifice""",Quality: 2,"When used, this item will sacrifice up to 2 of your familiars (chosen at random), and spawn a random Devil Room item for each familar sacrificed this way"
Lil Spewer,ItemID: 537,"""Puking buddy""",Quality: 1,"A familiar with a charged attack, that spawns a line of creep on the floor which damages enemies that walk over it"
Marbles,ItemID: 538,"""Choking hazard""",Quality: 2,Spawns 3 random trinkets when picked up
Mystery Egg,ItemID: 539,"""Sacrificial insemination""",Quality: 1,"A familiar which follows Isaac and, upon taking damage, will spawn a charmed enemy that will fight for you"
Flat Stone,ItemID: 540,"""Skipping tears""",Quality: 2,Flat Stone causes your tears to bounce across the room
Marrow,ItemID: 541,"""HP up?""",Quality: 1,+1 Bone Heart
Slipped Rib,ItemID: 542,"""Projectile shield""",Quality: 2,"This item gives you an orbital, which will reflect projectiles back at enemies"
Hallowed Ground,ItemID: 543,"""Portable sanctuary""",Quality: 1,A familiar which follows Isaac and spawns a white poop when you take damage
Pointy Rib,ItemID: 544,"""Stabbing time""",Quality: 2,"A familiar that can be aimed with the fire buttons similar to the Finger item, dealing contact damage to enemies equal to your tear damage"
Book of the Dead,ItemID: 545,"""Rise from the grave""",Quality: 3,"When used, this item will spawn a bone orbital or charmed Bony for each enemy killed in the current room"
Dad's Ring,ItemID: 546,"""Father's blessing""",Quality: 3,A passive item that puts a yellow ring around Isaac. Enemies are frozen in place while touching the yellow ring
Divorce Papers,ItemID: 547,"""Tears up + you feel empty""",Quality: 3,+1 Bone Heart
Jaw Bone,ItemID: 548,"""Fetch""",Quality: 1,A familiar that flies across the room every few seconds while firing and damages enemies (2x your tear damage)
Brittle Bones,ItemID: 549,"""Everything hurts""",Quality: 3,"When picked up, this item replaces all of your red heart containers with 6 Bone Hearts"
Broken Shovel (Head),ItemID: 550,"""It feels cursed""",Quality: 4,"Obtained by beating the Basement 1 boss within 1 minute, then bombing the large shadow that appears in the middle of the starting room"
Broken Shovel (Handle),ItemID: 551,"""Lost but not forgotten""",Quality: 4,Drops after beating the Boss Rush while holding the other half of the Broken Shovel (see previous item for more details)
Mom's Shovel,ItemID: 552,"""Lost but not forgotten""",Quality: 4,"When used, spawns a trapdoor that leads to the next floor"
