"item-title","r-itemid","pickup","quality","textbox","textbox 2","textbox 3","textbox 4","textbox 5","textbox 10","textbox 11","textbox 12","r-unlock"
"Rock Bottom","ItemID: 562","""It's only up from there""","Quality: 3","Prevents your stats from being reduced any more for the rest of the run","e.g. Stat Down pills do nothing, and items like Experimental Treatment increase stats but don't reduce any","This effect works on items that apply negative stat modifiers, such as Soy Milk","This effect works for anything that gives temporary buffs, like Devil/Strength cards, or kill bonuses like Bloody Lust","If you somehow lose Rock Bottom, your stats will go back to normal","Type: Passive","Item Pool: Secret Room","","Unlock this item by defeating the Boss Rush as Jacob & Esau"
"Nancy Bombs","ItemID: 563","""Random blast +5 bombs""","Quality: 2","+5 Bombs","Bombs now explode with a random effect (e.g. Poison, Homing, Prize Bombs)","In Antibirth this was called Enigma Bombs","","","Type: Passive","Item Pool: Item Room","",""
"A Bar of Soap","ItemID: 564","""Tears + shot speed up""","Quality: 3","+0.5 Tears Up","+0.2 Shot Speed Up","","","","Type: Passive","Item Pool: Boss Room","",""
"Blood Puppy","ItemID: 565","""What a cute little thing!""","Quality: 1","Spawns a red worm familiar that chases enemies nearby around the room and deals 2 contact damage per tick","After killing a 15 enemies, Blood Puppy transforms into an aggressive version that will also attack Isaac by charging at him. Damaging the aggressive Blood Puppy will eventually return it to its normal state.","While aggressive, Blood Puppy deals 7.5 damage and drops half a red heart for every 10 enemies it kills.","After killing a 25 more enemies, it transforms again dealing 15 damage and destroying obstacles it charges into. Isaac takes a full heart if hurt by Blood Puppy and it drops a full red heart for every 10 enemies it kills.","","Type: Passive, Familiar","Item Pool: Item Room, Red Chest, Curse Room","","Unlock this item by defeating Mother in the Corpse II as Lilith"
"Dream Catcher","ItemID: 566","""Sweet dreams""","Quality: 2","During the transition between floors, this item shows you a preview of the item that will spawn in the item room, and the boss that will appear","This effect will work even if you have Curse of the Blind, but the item will still appear as a ? when entering the item room","Gives +1 Soul Heart when starting each new floor after picking this up","On XL floors both items are shown","Currently this effect doesn't work in Greed Mode - It will show 2 items but the item rooms will have different items in them","Type: Passive","Item Pool: Shop","",""
"Paschal Candle","ItemID: 567","""Keep the flame burning""","Quality: 3","Gives +0.4 Tears Up for each room completed without taking damage, up to a maximum of +2.0 Tears Up","When you take damage, the tears bonus is reset","Picking this item up counts and gives you a temporary +0.4 Tears Up as well","","","Type: Passive","Item Pool: Angel Room","",""
"Divine Intervention","ItemID: 568","""Double tap shield""","Quality: 2","Allows you to double-tap the shoot button to create a holy shield for 1 second that pushes enemies back and deals 10 damage to them if they touch it","The shield also reflects enemy shots and beams back at them for some extra damage","Can only be activated every 3 seconds (Shown by a white glow and a ticking noise)","Counts as 1 of 3 angel items needed towards the Seraphim transformation.","","Type: Passive","Item Pool: Angel Room","","Unlock this item by defeating Hush as Bethany"
"Blood Oath","ItemID: 569","""Bleed me dry""","Quality: 1","At the beginning of each new floor, this item will stab Isaac and reduce your red health down as much as it can without killing you. In exchange it gives you +0.05 Speed Up and Damage Up for every half a heart this item removes","The amount of Damage Up is (0.15 * FullHeartsRemoved ^ 2)","If Isaac is already at half a red heart when stabbed, no damage or speed increases are given","The damage from being stabbed can be avoided with invincibility, however no damage or speed stat increases are gained if you do","","Type: Passive","Item Pool: Devil Room, Curse Room","",""
"Playdough Cookie","ItemID: 570","""Tasty rainbow""","Quality: 3","Your individual tears each gain a random effect from either: Poison, Fear, Slow, Freeze, Charm, Burning, Homing, Bleeding, x2 Damage or Reduced damage","","","","","Type: Passive, Tear Modifier","Item Pool: Item Room","",""
"Orphan Socks","ItemID: 571","""Speed up + your feet feel stronger""","Quality: 2","+2 Soul Hearts","+0.3 Speed Up","Allows you to walk on harmful floor effects without taking damage (e.g. spikes, creep). Doesn't include Curse Room doors or spiked rocks","","","Type: Passive","Item Pool: Secret Room","",""
"Eye of the Occult","ItemID: 572","""DMG up + range up + controlled tears""","Quality: 3","Tears can be controlled mid-flight using the directional keys","+1 Damage Up","+2.0 Range Up","-0.16 Shot Speed Down","Counts as 1 of 3 evil items needed towards the Leviathan transformation.","Type: Passive","Item Pool: Devil Room","",""
"Immaculate Heart","ItemID: 573","""Halo of tears""","Quality: 3","In addition to regular tears, Isaac will sometimes fire extra spectral tears that orbit around him","+1 HP Up","+20% damage multiplier (x1.2)","Fully heals all your red heart containers","Counts as 1 of 3 angel items needed towards the Seraphim transformation.","Type: Passive","Item Pool: Angel Room","",""
"Monstrance","ItemID: 574","""Purifying light""","Quality: 2","Isaac now emits a large light aura that damages nearby enemies 5 times per second while touching it","The visual effect is similar to the effect given to tears by the GodHead item","The aura deals more damage towards the center, ranging from 0.75 at max range to 4 damage when touching Isaac","","","Type: Passive","Item Pool: Angel Room","",""
"The Intruder","ItemID: 575","""Invasive friend""","Quality: 3","In addition to normal tears, Isaac now also fires a set of 4 quadshot tears with a slowing effect","The quadshot tears deal 1.5 damage each and do not scale with your damage upgrades","Upon taking damage, you have a chance to dislodge the spider from your face. It leaps at enemies, dealing contact damage and firing quad shots at them for the rest of the room","Counts as 1 of 3 spider items needed towards the Spider Baby transformation.","","Type: Passive","Item Pool: Item Room","",""
"Dirty Mind","ItemID: 576","""Filthy friends""","Quality: 1","Each time you destroy a poop, this item will spawn 1-4 friendly Dip familiars that follow you, block shots and attack nearby enemies","Different poop types will spawn different types of Dip, each with their own effect","Golden poop dips can petrify enemies, turning them to gold for a few seconds. If the enemy dies while in this state they will drop 1-4 coins","Corn poop dips spawn 1 blue fly on death","Rainbow poop Dips charm enemies and have a chance to spawn 1/2 a red heart on death","Type: Passive","Item Pool: Item Room","Counts as 1 of 3 poop items needed towards the Oh Crap transformation.","Unlock this item by defeating challenge #36 (Scat Man)"
"Damocles","ItemID: 577","""A king's fortune... but at what cost?""","Quality: 2","When used, places a sword directly above Isaac's head and while active, will spawn an extra item for every item pedestal spawned","After getting hit once with the item activated, at any time without warning, the sword may fall, instantly killing Isaac regardless of his health","After being hit the sword has a 1/10000 chance every 4 frames to fall. This chance doesnt change if you take further damage","You effectively have a 4.4% chance for every minute that passes after taking damage to die","Self-inflicted damage i.e. Curse Rooms and Blood Donation Machines don't trigger this effect","Type: Active","Recharge Time: One time use","Item Pool: Devil Room","Unlock this item by defeating The Lamb as Jacob & Esau"
"Free Lemonade","ItemID: 578","""Party time!""","Quality: 1","Upon use, spawns a giant puddle of lemonade that deals 8 damage per tick to any enemies which come in contact with it","Lasts for about 19 seconds","A similar effect to the Lemon Party pill","","","Type: Active","Recharge Time: 4 rooms","Item Pool: Item Room",""
"Spirit Sword","ItemID: 579","""Divine blade""","Quality: 3","Your tears are replaced with a sword which can be swung to deal damage (Damage * 3 + Base Damage)","Holding the fire button charges a spin attack (Damage * 8 + 10). The charge time is based on your tears stat.","While at full red health you also shoot a projectile across the room with each swing, dealing your current Damage + 2 (similar to the Master Sword in Zelda)","","","Type: Passive, Tear Modifier","Item Pool: Angel Room","","Unlock this item by defeating challenge #39 (Isaac's Awakening)"
"Red Key","ItemID: 580","""Explore the other side""","Quality: 3","While held, a red outline of a door will appear on certain walls. Using the Red Key near it will spawn a red room","This room will randomly choose from many types, including (but not limited to) any regular room from that floor, treasure rooms, curse rooms, devil rooms, angel rooms, I AM ERROR rooms and more","In rooms with multiple door outlines, the closest one will be opened","Attempting to create a room outside the maximum boundary (13 x 13 rooms) of the map will take you to an I AM ERROR room. You can't use the Red Key to leave this room","The Red Key can be used to open the secret room in the Home floor, which is the method for unlocking alternative 'Tainted' characters","Type: Active","Recharge Time: 4 rooms","Item Pool: Secret Room, Red Chest, Curse Room, Key Beggar, Mom's Chest","Unlock this item by opening Mom's Box in the Home floor"
"Psy Fly","ItemID: 581","""Flamboyant protector""","Quality: 4","Gives Isaac an orbital fly, that will rapidly charge around and deflect any incoming tears that would hit Isaac.","It isn't 100% effective but the effect is very strong and will deflect most shots under a bullet hell situation.","Deflected tears turn into homing tears and fire back at enemies, dealing 2 damage.","After reflecting a certain number of projectiles, Psy Fly enters a brief cooldown period","Counts as 1 of 3 fly items needed towards the Beelzebub transformation.","Type: Passive, Familiar","Item Pool: Item Room, Key Beggar","",""
"Wavy Cap","ItemID: 582","""Tears up. A mind changing experience!""","Quality: 1","Every time you use Wavy Cap, it gives +0.75 Tears Up and -0.03 Speed Down","Also when used, this item will distort the screen and sound slightly, stacking every time you use it","All of these effects stack for the rest of the floor, meaning if used too many times the screen will be distorted so much it becomes unplayable","Each room you clear removes one use worth of effect - reducing the screen distortion slightly and giving +0.06 Speed Up and -0.3 Tears Down","This item was called Black Mushroom in Antibirth","Type: Active","Recharge Time: Starts at 1 second, increasing by every time you use it. After 10 uses it stops auto recharging.","Item Pool: Secret Room",""
"Rocket in a Jar","ItemID: 583","""Rocket propulsion +5 bombs""","Quality: 2","+5 Bombs","Placing a bomb while pressing a fire button will fire an explosive rocket in that direction","Placing a bomb while standing still will place a regular bomb","","","Type: Passive","Item Pool: Item Room, Bomb Beggar","",""
"Book of Virtues","ItemID: 584","""Spiritual companionship""","Quality: 3","Upon use, spawns a flame familiar that fires spectral tears and deals contact damage to enemies. After taking two hits, the fire will be extinguished","The Book can be held at the same time as another active item. When used, this will combine with your other active item, creating a unique flame and possibly giving special effects","The recharge time of this item is based on your 2nd active item, otherwise it's 4 rooms","While held, guarantees the first Devil/Angel Room encountered to be an Angel Room, and increases the overall chance of getting one","A maximum of 16 flames can be active at one time around Isaac","Type: Active/Passive Item","Recharge Time: Varies","Item Pool: Angel Room, Library","Unlock this item by defeating Isaac as Bethany"
"Alabaster Box","ItemID: 585","""A sacred offering""","Quality: 2","A single use active item that will spawn 3 soul hearts and 2 items from the Angel Room pool","Starts fully uncharged and gains charges only through picking up soul and black. (6 full hearts to fully charge)","Unless fully charged, hearts picked up are consumed by the Alabaster Box, instead of being added to your life total","If a devil deal was already taken this run, it spawns 2 soul hearts and 1 Angel Room item instead.","Picking up Bone Hearts while at 12 hearts will remove charges from the Box","Type: Active","Recharge Time: 12 charges (one time use)","Item Pool: Shop","Unlock this item by defeating The Lamb as Bethany"
"The Stairway","ItemID: 586","""Stairway to heaven""","Quality: 3","Spawns a ladder in the starting room of all future floors, which leads to an Angel Room","Angel rooms accessed by The Stairway are different - They sell angel room items and soul hearts for money, similar to the Shop","Pedestal items cost 15c, all other items (eternal/soul hearts, keys and holy cards) cost 5c. Sales can be randomly applied just like regular shops","The ladder disappears after leaving the starting room, even if you haven't used it yet","In Antibirth this was called Jacob's Ladder, which had to be renamed as Afterbirth+ already had an item with this name","Type: Passive","Item Pool: Angel Room","","Unlock this item by defeating Isaac as Jacob & Esau"
"Sol","ItemID: 588","""Radiant victory""","Quality: 2","Permanently shows the location of the boss room on the map","After defeating the shown boss fight, this item will activate a use of the Sun card (full heal and map reveal), fully recharge your active item, remove curses from the floor, gives +3 Damage Up and +1 Luck up for the rest of the floor","Only available inside a Planetarium - a room that has a base 1% chance to appear, which increases by +20% every time you skip an Item Room (Must not enter to count as skipped)","In The Void floor it shows a random boss room, which isn't necessarily Delirium's room","","Type: Passive","Item Pool: Planetarium","",""
"Luna","ItemID: 589","""More secrets""","Quality: 2","Adds one extra secret room and one extra super secret room to each floor","Each secret room contains a beam of light, that gives half a soul heart, and a Tears Up for the rest of the floor. These stack with multiple secret rooms - The first one gives +1.00 Tears Up, then all future ones give +0.5.","Reveals the location of one secret room on the minimap.","Only available inside a Planetarium - a room that has a base 1% chance to appear, which increases by +20% every time you skip an Item Room (Must not enter to count as skipped)","","Type: Passive","Item Pool: Planetarium","",""
"Mercurius","ItemID: 590","""Speed up + you feel elusive""","Quality: 3","+0.40 Speed Up","Doors remain open when entering a room with enemies in it. This means you can leave rooms before defeating the enemies inside","Doesn't open locked doors, or the door that leads to the Boss Room","Only available inside a Planetarium - a room that has a base 1% chance to appear, which increases by +20% every time you skip an Item Room (Must not enter to count as skipped)","","Type: Passive","Item Pool: Planetarium","",""
"Venus","ItemID: 591","""HP up + you feel pretty""","Quality: 2","+1 HP Up","Heals one red heart container when picked up","This item causes nearby enemies to be affected by the charm effect, causing them to attack other nearby enemies","The charm effect will wear off very quicky when enemies move away from Isaac","Only available inside a Planetarium - a room that has a base 1% chance to appear, which increases by +20% every time you skip an Item Room (Must not enter to count as skipped)","Type: Passive","Item Pool: Planetarium","",""
"Terra","ItemID: 592","""Born to rock""","Quality: 3","This item causes your tears to become rocks, which have increased knockback and can break other rocks and objects. This includes key blocks and secret room doors","+1.0 Damage Up, but each rock tear has a random damage modifier that can go up or down (x0.5 to x2)","Only available inside a Planetarium - a room that has a base 1% chance to appear, which increases by +20% every time you skip an Item Room (Must not enter to count as skipped)","","","Type: Passive, Tear Modifier","Item Pool: Planetarium","",""
"Mars","ItemID: 593","""Double tap dash""","Quality: 2","Allows Isaac to charge by double tapping the same direction, dealing damage to any enemies caught","You are invincible while charging (doesn't include self-damage like Blood Donation machines)","Can be used multiple times per room","The dash deals x4 your current tear damage + 8","Doesn't have to be in a straight line, you can hold another button to curve it","Type: Passive","Item Pool: Planetarium","",""
"Jupiter","ItemID: 594","""You're a gas giant!""","Quality: 2","+2 HP Up (only half a heart is filled)","-0.3 Speed Down","While not moving your speed rapidly increases up to a bonus of +0.5","While you have this +0.5 bonus, moving will cause Isaac to fart around the room, spawning poison gas clouds","The farts stop spawning once you reach your regular movement speed","Type: Passive","Item Pool: Planetarium","",""
"Saturnus","ItemID: 595","""Ring of tears""","Quality: 2","Gives you a wide circle halo which grants 7 orbital tears upon entering a new room","The tears orbit for 13 seconds before dropping off","Has a chance to absorb any enemy tears and add them to the orbiting tears. They can be used to damage enemies","Saturnus tears can't break objects such as poop and TNT barrels","Only available inside a Planetarium - a room that has a base 1% chance to appear, which increases by +20% every time you skip an Item Room (Must not enter to count as skipped)","Type: Passive","Item Pool: Planetarium","",""
"Uranus","ItemID: 596","""Ice tears""","Quality: 3","Isaac now shoots ice tears that slow enemies. Enemies that are killed by the ice tears will become frozen","Frozen enemies never unfreeze and are considered dead by the game. Kicking a frozen enemy will push it into the wall, where it shatters and fires ice shards everywhere (these can then freeze other enemies)","Only available inside a Planetarium - a room that has a base 1% chance to appear, which increases by +20% every time you skip an Item Room (Must not enter to count as skipped)","","","Type: Passive","Item Pool: Planetarium","",""
"Neptunus","ItemID: 597","""Open the floodgates""","Quality: 3","Isaac will now automatically charge up tears, allowing you to store them up and fire them rapidly for a short time","Any time you aren't firing tears, the charge bar will start filling up, for up to 3 seconds. Holding down the fire button again will quickly release all stored teared","The charge time and max tears stored scales with your current tears stat","Only available inside a Planetarium - a room that has a base 1% chance to appear, which increases by +20% every time you skip an Item Room (Must not enter to count as skipped)","","Type: Passive, Tear Modifier","Item Pool: Planetarium","",""
"Pluto","ItemID: 598","""Size down""","Quality: 3","+0.7 Tears Up","Greatly reduce Isaac's size, to an extent where some enemy tears will now travel straight over him without dealing damage if they are high off the ground. Tears can still hit Isaac if gravity applies for too long","Allows Isaac to squeeze between some objects","Only available inside a Planetarium - a room that has a base 1% chance to appear, which increases by +20% every time you skip an Item Room (Must not enter to count as skipped)","","Type: Passive","Item Pool: Planetarium","",""
"Voodoo Head","ItemID: 599","""Extra curse rooms""","Quality: 2","This item has a chance to spawn an additional curse room on each future floor","Causes a penny to spawn in all future Curse Rooms","Improves curse room layouts and rewards","","","Type: Passive","Item Pool: Shop, Crane Game","",""
"Eye Drops","ItemID: 600","""Tears up""","Quality: 3","Tears fired from your left eye gain roughly +28% fire rate increase","Causes your tears to be fired at staggered rates","","","","Type: Passive","Item Pool: Boss Room","",""
"Act of Contrition","ItemID: 601","""Tears up, you feel forgiven""","Quality: 3","+1 Eternal Heart","+0.7 Tears Up","Allows Angel Rooms to appears even if a Devil deal has been taken before","","","Type: Passive","Item Pool: Angel Room","",""
"Member Card","ItemID: 602","""Exclusive access!""","Quality: 2","All shops now contain a trapdoor with a ladder, which leads down to a special shop","The special shop contains various consumables and items at a higher price from the Devil/Angel room, Boss room and Secret room pools.","Items cost 15-30c, trinkets cost 15c, cards/runes cost 6-8c, black/bone hearts 8c, eternal hearts 15c, rotten hearts 5c","","","Type: Passive","Item Pool: Shop","","Unlock this item by spending 40+ coins in the same shop"
"Battery Pack","ItemID: 603","""Instant energy!""","Quality: 0","When picked up, this item fully recharges your currently held active item and drops between 2-4 battery pickups. These can be smaller or big batteries","","","","","Type: Passive","Item Pool: Shop, Battery Beggar","",""
"Mom's Bracelet","ItemID: 604","""Mother's strength""","Quality: 1","Upon use, Mom's Bracelet allows you to grab objects in the room and throw them, damaging any enemies which are hit for 40 damage","Most objects can be thrown including pots, rocks, poops, tnt etc","Pressing the activate button again will drop the object where you stand, which doesn't consume a charge of use","Allows you to remove the skull on top of Host enemies, turning them into the red version","Counts as 1 of 3 mom items needed towards the Mom transformation","Type: Active","Recharge Time: 1 second","Item Pool: Shop, Crane Game, Mom's Chest",""
"The Scooper","ItemID: 605","""Plop!""","Quality: 1","When used, this item spawns a Peeper familiar for the current room, which deals 12 contact damage per tick to enemies and leaves red creep in its path","Using this item removes Isaac's right eye, causing tears from this eye to deal x1.5 your normal tear damage","Using it more than once in the same room will spawn multiple Peeper familiars","","","Type: Active","Recharge Time: 3 rooms","Item Pool: Item Room",""
"Ocular Rift","ItemID: 606","""Stare into the abyss""","Quality: 3","Fired tears now have a chance to summon a rift when they land on the ground","The spawned rift sucks in enemies, projectiles and pickups and deals damage to enemies caught inside for 2 seconds","The chance to fire the rift tear can improve based on your luck stat. At +0 Luck theres a ~2.5% chance for this effect to activate","The size of the rift scales with your tear damage","Rifts deal half your damage per tick","Type: Passive","Item Pool: Devil Room","",""
"Boiled Baby","ItemID: 607","""Messy friend""","Quality: 1","A familiar boil that randomly fires bursts of tears, similar to the Boil enemy","Tears either deal 5.3 or 3.5 damage","Counts as 1 of 3 familiar items needed towards the Conjoined transformation.","","","Type: Passive, Familiar","Item Pool: Item Room","",""
"Freezer Baby","ItemID: 608","""Iced iced baby""","Quality: 2","A familiar baby that fires tears which have a chance to freeze or petrify enemies","Frozen enemies never unfreeze and are considered dead by the game. Kicking a frozen enemy will push it into the wall, where it shatters and fires ice shards everywhere (these can then freeze other enemies)","Counts as 1 of 3 familiar items needed towards the Conjoined transformation","","","Type: Passive, Familiar","Item Pool: Item Room","",""
"Eternal D6","ItemID: 609","""???""","Quality: 3","When used, rerolls all items in the room into another random item from the current room's item pool, however the item also has a 30% chance to disappear","The chance associated with this item does NOT scale with your Luck stat - it's always 30%","In the game files this item is called 'Florians Dice', which is a reference to the Eternal update for the original Binding of Isaac game, which changed the D6 to act as this item does","","","Type: Active","Recharge Time: 2 rooms","Item Pool: Item Room, Secret Room, Crane Game","Unlock this item by defeating Mother in the Corpse II as ???"
"Bird Cage","ItemID: 610","""Fat buddy""","Quality: 1","Taking damage for the first time in a room spawns a familiar which targets an enemy and jumps on them, releasing a rock wave outwards","For the remainder of the room the familiar then continues to attack enemies similar to the Dead Bird item dealing 3 contact damage per tick","Deals 45 damage to enemies it lands on. The rock wave deals 10 damage.","","","Type: Passive","Item Pool: Item Room","","Unlock this item by defeating Mother in the Corpse II as Eve"
"Larynx","ItemID: 611","""Hear my pain""","Quality: 2","When used, this item does a shout-type attack, with its effect increasing in damage and size the more charges you have","Larynx can be used with any number of charges. At 1 charge it deals 48 damage to any enemies close to Isaac. At the full 12 charges Isaac does a massive shout, dealing 356 damage to all enemies on the screen","Larynx gains 1 charge every time you take damage (also charges as normal)","","","Type: Active","Recharge Time: 12 rooms (Can be used with partial charges)","Item Pool: Item Room, Greed Mode Item Room","Unlock this item by defeating The Beast as Tainted Samson"
"Lost Soul","ItemID: 612","""Protect him""","Quality: 2","This item gives you a familiar version of The Lost character which dies instantly upon hit","If the familiar survives an entire floor you get one of: 3 soul hearts, 2 eternal hearts or a random item/angel room item","Regenerates at the start of each floor if dead","","","Type: Passive, Familiar","Item Pool: Item Room, Secret Room","","Unlock this item by defeating Mother in the Corpse II as The Lost"
"Blood Bombs","ItemID: 614","""Bloody blast + HP up""","Quality: 2","+1 HP Up","Restores 5 empty red heart containers","Bombs now spawn a puddle of red creep upon explosion, dealing 2 damage per tick to enemies touching it","While at 0 bombs, you can also place further bombs now at the cost of 1/2 of a heart (kills The Lost if used like this). Placing a bomb this way will not affect your devil/angel room chances","","Type: Passive","Item Pool: Item Room","",""
"Lil Dumpy","ItemID: 615","""Puffy buddy""","Quality: 3","Lil Dumpy follows Isaac and produces a Butter Bean fart when a projectile or enemy is about to hit Isaac, pushing the enemy back and preventing the damage","After it farts, it flies away, stops following Isaac and has to be picked up again before it will follow again","He also has a second larger detection radius that can randomly trigger from enemy projectiles","The effect only works if Lil Dumpy is following and near Isaac","","Type: Passive","Item Pool: Item Room","",""
"Bird's Eye","ItemID: 616","""It burns""","Quality: 3","You have a chance alongside each tear to shoot a red flame, which deals damage to enemies that come in contact with it","Damage starts at x4 your current tear damage, and scales down each time an enemy touches the fire","The chance to create a fire scales with your Luck stat, at +11 Luck you have a 50% chance to shoot one","The flames from this item can destroy shopkeepers, which is handy since doing this once per floor increases your devil/angel room chances slightly","","Type: Passive","Item Pool: Item Room","",""
"Lodestone","ItemID: 617","""Magnetizing tears""","Quality: 3","Tears now have a chance to cause enemies to be magnetized","Magnetized enemies attract other enemies, tears (including Isaac's) and enemy projectiles, causing them to be pulled in towards them","Enemy tears that get pulled into other enemies will hurt them","","","Type: Passive","Item Pool: Item Room, Crane Game","",""
"Rotten Tomato","ItemID: 618","""Delicious!""","Quality: 2","You have a chance to fire a tear that marks enemies red and slow them","Marked enemies will be attacked by other enemies either until it is killed or it kills all the other enemies attacking it","Chance to fire a marking tear scales with your luck stat","","","Type: Passive","Item Pool: Item Room, Rotten Beggar","",""
"Birthright","ItemID: 619","""???""","Quality: 3","This item has a different effect for each character. See next icon for Tainted character effects","Isaac - All new pedestal items cycle through two options","Maggy - +1 HP up. Increases the maximum heart limit to 18.","Cain - +1 Luck. All floors guaranteed to have an Arcade except the Chest & Dark Room floors","Judas - Gives a passive Book of Belial item similar to Book of Virtues. Using active items gives a damage up that scales with the charge time","Type: Passive","Item Pool: Shop","Lazarus - Every time Lazarus dies, gives +21.6 temporary Damage Up, gradually fading over 1 minute.","Unlock this item by defeating ??? as Jacob & Esau"
"Birthright (Tainted)","ItemID: 619","""???""","Quality: 3","This item has a different effect for each character. See previous icon for normal character effects","Tainted Isaac - Adds 4 more spaces for passive items","Tainted Maggy - Adds 1 extra real heart container that doesn't deplete","Tainted Cain - Doubles picks dropped when touching an item","Tainted Judas - Increases the range in which Dark Arts hits enemies and tears","Type: Passive","Item Pool: Shop","Tainted Lazarus - The inactive character moves alongside you like Esau. Can fire tears but is immune to damage","Unlock this item by defeating ??? as Jacob & Esau"
"Red Stew","ItemID: 621","""Full HP + temporary DMG up""","Quality: 2","Fully heals all red heart containers","Significantly increases damage by +21.6, however the damage boost wears off slowly over time at a rate of roughly -0.04 per second","Every enemy you kill adds +0.02 Damage to the timed effect of Red Stew","","","Type: Passive","Item Pool: Shop, Ultra Secret Room","","Unlock this item by defeating Satan as Jacob & Esau"
"Genesis","ItemID: 622","""In the beginning""","Quality: 3","When used, removes all your passive items and teleports you to Isaac's Bedroom","For every passive item removed, you are given a choice of 3 random pedestal items from any item pool. Essentially you are rerolling all your items, but each new item you get to choose between 3 random options","The bedroom also contains a random trinket, 2 chests, 2 sacks and Isaac's bed, which can be used to full heal your red heart health","The only way to exit Isaac's bedroom is teleporting out or via the trapdoor, which takes you to the next floor. This will deviate you from the alt path if you are currently on it","Since this item resets your stats, this item can remove Broken Hearts","Type: Active","Recharge Time: One time use","Item Pool: Angel Room, Greed Mode Angel Room","Unlock this item by defeating Greedier Mode as Jacob & Esau"
"Sharp Key","ItemID: 623","""Open your enemies""","Quality: 1","+5 Keys","Upon use, allows you to consume 1 key and fire it at an enemy, piercing enemies and dealing significant damage","The damage done by the key projectile pierces through enemies and scales with your damage upgrades (x5 damage + 30)","Keys fired by this item can open locked doors/chests, secret rooms and destroy objects in the room, such as rocks","Cannot be used if you don't have any keys","Type: Active","Recharge Time: Instant","Item Pool: Shop",""
"Booster Pack","ItemID: 624","""Collect them all!""","Quality: 1","Spawns 5 random cards","","","","","Type: Passive","Item Pool: Boss Room, Shop","",""
