"item-title","r-itemid","pickup","quality","textbox","textbox 2","textbox 3","textbox 4","textbox 5","textbox 6","r-unlock","textbox 12"
"Raw Liver","ItemID: 16","""HP up""","Quality: 2","+2 Health Up","Type: Passive","Item Pool: Secret Room","Full red heart heal","","","",""
"Skeleton Key","ItemID: 17","""99 keys""","Quality: 3","Gives Isaac 99 Keys","Type: Passive","Item Pool: Item Room, Secret Room","","","","",""
"A Dollar","ItemID: 18","""$$$""","Quality: 3","Gives Isaac 100 coins","Type: Passive","Item Pool: None (Arcade machine only)","Can drop from an exploding slot machine while playing it","","","",""
"Boom!","ItemID: 19","""10 bombs""","Quality: 0","+10 Bombs","Type: Passive","Item Pool: Item Room","","","","",""
"Transcendence","ItemID: 20","""We all float down here...""","Quality: 3","Gives Isaac the ability to fly","Type: Passive","Item Pool: Secret Room","","","","Unlock this item by beating Mom's Heart 3 times",""
"The Compass","ItemID: 21","""The end is near""","Quality: 2","Shows most icons on the map (Shops, Item Rooms, Boss Rooms etc.)","Type: Passive","Item Pool: Shop, Beggar","Does not show the layout of the map","Doesn't show the location of Secret or Super Secret rooms","Room icons will not show if a Curse of the Lost is in effect on the current floor","",""
"Lunch","ItemID: 22","""HP up""","Quality: 1","+1 HP Up","Type: Passive","Item Pool: Boss Room, Challenge Room, Beggar","Heals one red heart container when picked up","","","",""
"Dinner","ItemID: 23","""HP up""","Quality: 1","+1 HP Up","Type: Passive","Item Pool: Boss Room, Beggar, Challenge Room","Heals one red heart container when picked up","","","",""
"Dessert","ItemID: 24","""HP up""","Quality: 1","+1 HP Up","Type: Passive","Item Pool: Boss Room, Beggar, Challenge Room","Heals one red heart container when picked up","","","",""
"Breakfast","ItemID: 25","""HP up""","Quality: 1","+1 HP Up","Type: Passive","Item Pool: Boss Room, Challenge Room, Beggar","Heals one red heart container when picked up","","","",""
"Rotten Meat","ItemID: 26","""HP up""","Quality: 1","+1 HP Up","Type: Passive","Item Pool: Boss Room, Beggar, Challenge Room","Heals one red heart container when picked up","","","",""
"Wooden Spoon","ItemID: 27","""Speed up""","Quality: 1","+0.3 Speed Up","Type: Passive","Item Pool: Boss Room","","","","",""
"The Belt","ItemID: 28","""Speed up""","Quality: 1","+0.3 Speed Up","Type: Passive","Item Pool: Boss Room, Gold/Stone Chest","","","","",""
"Mom's Underwear","ItemID: 29","""Range Up""","Quality: 1","+1.5 Range Up","Type: Passive","Item Pool: Boss Room, Challenge Room, Gold/Stone Chest, Mom's Chest","Gives 3-6 blue attack flies when picked up","Counts as 1 of 3 mom items needed towards the Mom transformation","","",""
"Mom's Heels","ItemID: 30","""Range up""","Quality: 1","+1.5 Range Up","Type: Passive","Item Pool: Boss Room, Challenge Room, Mom's Chest","Makes Isaac deal 12 contact damage per tick (24 damage per second)","Counts as 1 of 3 mom items needed towards the Mom transformation","","",""
"Mom's Lipstick","ItemID: 31","""Range up""","Quality: 1","+2.25 Range Up","Type: Passive","Item Pool: Boss Room, Challenge Room, Mom's Chest","Drops a random heart on the floor when picked up","Counts as 1 of 3 mom items needed towards the Mom transformation","","",""
"Wire Coat Hanger","ItemID: 32","""Tears up""","Quality: 3","+0.7 Tears Up","Type: Passive","Item Pool: Boss Room, Gold/Stone Chest","","","","Unlock this item by beating Mom's Heart 4 times",""
"The Bible","ItemID: 33","""Temporary flight""","Quality: 1","Gives Isaac angel wings for the current room, allowing him to fly","Type: Active","Recharge Time: 4 rooms","Instantly kills the Mom's Foot, Mom's Heart and It Lives boss fights","If used during the Satan fight, The Bible will instantly kill Isaac","Counts as 1 of 3 angel items needed towards the Seraphim transformation","","Item Pool: Shop, Library, Angel Room"
"The Book of Belial","ItemID: 34","""Temporary DMG up""","Quality: 2","Upon use, gives +2 damage up which lasts for the current room","Type: Active","Recharge Time: 3 rooms","x1.5 times Damage Multiplier if you also have Blood of the Martyr (Does not stack with Magic Mushroom or Cricket's Head multipliers)","Increases your chances of getting a devil/angel room by +12.5%","Judas starts with this item","","Item Pool: Library, Devil Room"
"The Necronomicon","ItemID: 35","""Mass room damage""","Quality: 1","Deals 40 damage to everything in the room when used","Type: Active","Recharge Time: 3 rooms","Counts as 1 of 3 book items needed towards the Bookworm transformation","","","Unlock this item by using 4 XIII - Death cards","Item Pool: Library, Secret Room, Devil Room"
"The Poop","ItemID: 36","""Plop!""","Quality: 0","Drops a poop on the floor","Type: Active","Recharge Time: 1 room","Blue Baby starts with this item","Can be placed next to a pit and exploded to make a bridge","Can be placed over a broken red poop to overwrite it, causing it to no longer regenerate","","Item Pool: Item Room"
"Mr. Boom","ItemID: 37","""Reusable bomb buddy""","Quality: 1","Drops a large bomb below the player which does 185 damage","Type: Active","Recharge Time: 2 rooms","Compatible with bomb modifiers, such as Glitter Bombs, Sticky Bombs etc","Has a chance to drop from the Wrath miniboss fight","","","Item Pool: Item Room, Wrath Miniboss, Bomb Beggar"
"Tammy's Head","ItemID: 38","""Reusable tear burst""","Quality: 2","Fires 10 tears in a circle around Isaac","Type: Active","Recharge Time: 1 room","Each tear is equal to your damage stat + 25 flat damage","The tears spawned from Tammy's Head retain tear effects of Isaac's tears, such as poison or homing","","","Item Pool: Item Room, Gold Chest"
"Mom's Bra","ItemID: 39","""Mass fear""","Quality: 1","When used, freezes all enemies in the current room for about 4 seconds","Type: Active","Recharge Time: 3 rooms","Counts as 1 of 3 mom items needed towards the Mom transformation","","","","Item Pool: Item Room, Challenge Room, Mom's Chest"
"Kamikaze","ItemID: 40","""Become the bomb!""","Quality: 0","Causes an explosion near Isaac which takes away half a heart and does 40 damage all enemies in close proximity","Type: Active","Recharge Time: Instant","Does not reduce your devil/angel room chances when used","","","","Item Pool: Item Room"
"Mom's Pad","ItemID: 41","""Gross...""","Quality: 0","When used, causes all enemies in the current room to run away from Isaac in fear for 5 seconds","Type: Active","Recharge Time: 2 rooms","Spawns 1 blue attack fly per use","Counts as 1 of 3 mom items needed towards the Mom transformation","","","Item Pool: Item Room, Challenge Room, Mom's Chest"
"Bob's Rotten Head","ItemID: 42","""Reusable ranged bomb""","Quality: 1","A poison bomb which can be thrown and leaves a poison effect on any enemies within the blast radius. It also leaves a gas cloud at the place where it exploded","Type: Active","Recharge Time: 2 rooms","The bomb deals 185 damage + your tear damage on hit and leaves a damage over time poison effect that does 3 times your tear damage per tick","Synergizes with tear modifying items such as My Reflection or Tiny Planet","Has a chance to drop from the Sloth miniboss fight","","Item Pool: Item Room, Sloth Miniboss"
"Teleport","ItemID: 44","""Teleport!""","Quality: 0","Teleports Isaac to a random location on the map","Type: Active","Recharge Time: 2 rooms","Can't be used to teleport to the I AM ERROR room","","","","Item Pool: Item Room"
"Yum Heart","ItemID: 45","""Reusable regeneration""","Quality: 1","Heals Isaac for one whole red heart","Type: Active","Recharge Time: 4 rooms","Maggy starts with this item","When used as the Keeper, one coin HP is restored","Has a chance to drop from the Super Lust miniboss fight","","Item Pool: Item Room, Super Lust Miniboss"
"Lucky Foot","ItemID: 46","""Luck up""","Quality: 2","+1.0 Luck Up","Type: Passive","Item Pool: Item Room, Beggar","Better chance to win while gambling at the Shell Game and Fortune Telling Machine","Higher chance to get a random drop after clearing a room","Converts all negative pills into their positive counterparts. Doesn't affect neutral ones and pills remain unidentified","",""
"Doctor's Remote","ItemID: 47","""Reusable air strike""","Quality: 1","A target is placed on the floor which can be controlled. After a few seconds a huge missile hits the target and deals 20x your tear damage to anything nearby","Type: Active","Recharge Time: 2 rooms","Essentially a one-time use of the Epic Fetus item","","","","Item Pool: Item Room"
"Cupid's Arrow","ItemID: 48","""Piercing shots""","Quality: 3","Isaac's tears now have a piercing effect which allows them to travel through enemies instead of breaking on hit","Type: Passive","Item Pool: Item Room","","","","",""
"Shoop Da Whoop!","ItemID: 49","""BLLLARRRRGGG!""","Quality: 2","When used, fires a high damage laser in a straight line across the room in a similar way to Brimstone","Type: Active","Recharge Time: 2 rooms","The laser deals damage equal to double your tear damage. The laser hits up to 13 times if an enemy stays inside it for the duration","Has a chance to drop from the Envy and Super Envy miniboss fights","","","Item Pool: Item Room, Envy Miniboss, Super Envy Miniboss"
"Steven","ItemID: 50","""DMG up""","Quality: 3","+1 Damage Up","Type: Passive","Item Pool: Steven Boss","Can only be dropped by the Steven boss","","","Unlock this item by beating the Basement 40 times and defeating the Steven boss",""
"Pentagram","ItemID: 51","""DMG up""","Quality: 3","+1.0 Damage Up","Type: Passive","Item Pool: Boss Room, Curse Room, Devil Room, Demon Beggar, Crane Game","+10% chance of a devil/angel room opening while held","A second Pentagram will give an extra +5% chance","Counts as 1 of 3 evil items needed towards the Leviathan transformation","",""
"Dr. Fetus","ItemID: 52","""???""","Quality: 4","Instead of tears, Isaac now shoots bombs from his eyes, which explode dealing damage to anything nearby","Type: Passive, Tear Modifier","Item Pool: Item Room","Bomb damage = damage * 10","Tears Down (Tear delay * 2.5)","Bombs will also synergize with other bomb items and tear modifiers, including Sad Bombs, Mr. Mega and many more","Unlock this item by beating Mom's Heart 9 times",""
"Magneto","ItemID: 53","""Item snatcher""","Quality: 1","Causes pickups on the floor move towards the player","Type: Passive","Item Pool: Item Room","Works across pits, but not through Key blocks","Chests up to 2 tiles away from Isaac open automatically. Spiked chests are opened without damaging Isaac. Locked chests and stone chests are not opened and still require a key/bomb","","",""
"Treasure Map","ItemID: 54","""Full visible map""","Quality: 2","Reveals the entire map for every floor except the secret room locations","Type: Passive","Item Pool: Shop, Beggar","Does not show the icons for any unexplored rooms","Can still help you to guess which direction the boss room is in, due to the fact that the Boss Room is usually in the room furthest away from the first room","","",""
"Mom's Eye","ItemID: 55","""Eye in the back of your head""","Quality: 1","Isaac has a random chance to fire another tear out the back of his head","Type: Passive, Tear Modifier","Item Pool: Item Room, Challenge Room, Mom's Chest","The chance to fire the second tear can improve based on your luck stat and will always activate at +5 Luck","At +0 luck theres a ~50% chance for this effect to activate","Synergizes very well with a lot of items. If used with Brimstone you have a 100% chance to fire a laser out the back of your head","",""
"Lemon Mishap","ItemID: 56","""Oops...""","Quality: 0","When used, drops a pool of 'lemonade' on the floor which damages any enemies that come into contact with it for 8 damage per tick","Type: Active","Recharge Time: 2 rooms","","","","","Item Pool: Item Room"
"Distant Admiration","ItemID: 57","""Attack fly""","Quality: 2","Gives Isaac an orbiting fly which deals 5 contact damage to enemies per tick","Type: Passive, Orbital","Item Pool: Item Room, Key Beggar","Counts as 1 of 3 fly items needed towards the Beelzebub transformation","","","",""
"Book of Shadows","ItemID: 58","""Temporary invincibility""","Quality: 3","Gives the player an invulnerability effect which lasts for a 10 seconds","Type: Active","Recharge Time: 3 rooms","Can be used to get free hits on the Blood Donation machines and Devil Beggars","Counts as 1 of 3 book items needed towards the Bookworm transformation","","","Item Pool: Item Room, Library"
"The Ladder","ItemID: 60","""Building bridges""","Quality: 1","Allows Isaac to walk over gaps with a width of one tile","Type: Passive","Item Pool: Shop","","","","",""
"Charm of the Vampire","ItemID: 62","""Kills heal""","Quality: 1","+0.3 Damage Up","Type: Passive","Item Pool: Item Room","Heals half a heart after every 13 enemies killed","Works with the Keeper for restoring coin HP","","",""
"The Battery","ItemID: 63","""Stores energy""","Quality: 2","All spacebar items can now be 'overcharged', allowing them to be charged up twice instead of once","Type: Passive","Item Pool: Shop","The extra charges appear in yellow on top of the normal green bars","This item works with self-recharging items","","",""
"Steam Sale","ItemID: 64","""50% off""","Quality: 2","Items in the shop are now -50% off","Type: Passive","Item Pool: Shop, Greed Miniboss, Shopkeeper","15c items are reduced to 7c. 5c pickups become 3c. 3c pickups become 2c","Taking more than 1 steam sale reduces the price of all items even further","This item is called Steamy Sale on PS4, PS Vita, Xbox One and Switch versions, probably due to copyright reasons","",""
"Anarchist Cookbook","ItemID: 65","""Summon bombs""","Quality: 1","Spawns 6 troll bombs at random locations around the room","Type: Active","Recharge Time: 3 rooms","Bombs are effected by other passive bomb items","Has a chance to drop from the Pride miniboss fight","Counts as 1 of 3 book items needed towards the Bookworm transformation","","Item Pool: Item Room, Library, Pride Miniboss"
"The Hourglass","ItemID: 66","""Temporary enemy slowdown""","Quality: 1","When used, slows down all enemies in the current room and their projectiles for about 8 seconds","Type: Active","Recharge Time: 2 rooms","","","","","Item Pool: Item Room"
"Sister Maggy","ItemID: 67","""Friends 'till the end""","Quality: 1","A familiar which follows Isaac around and shoots blood tears that deal 5 damage","Type: Passive, Familiar","Item Pool: Item Room, Devil Room","The tears appear red but have no additional damage","Sister Maggy fires tears at a rate of 1 tear per second","Counts as 1 of 3 familiar items needed towards the Conjoined transformation","",""
"Technology","ItemID: 68","""Laser tears""","Quality: 3","Isaac's tears are replaced with a laser that has unlimited range and can only fire at right angles","Type: Passive, Tear Modifier","Item Pool: Item Room","Lasers travel through enemies but not obstacles in the room","Synergizes with most items that affect how many tears you fire (20/20, Mutant Spider etc.) or the path they take (My Reflection, Tiny Planet etc.)","","",""
"Chocolate Milk","ItemID: 69","""Charge shots""","Quality: 3","Isaac can now charge shots for more damage by holding down the fire button","Type: Passive, Tear Modifier","Item Pool: Item Room","At full charge, your tears do 4 times more damage","Tears fired at the minimum possible charge do roughly 1/3 of your normal damage","You can spam the fire button to rapid fire, however the overall damage per second will be low","",""
"Growth Hormones","ItemID: 70","""DMG up + speed up""","Quality: 3","+1.0 Damage Up","Type: Passive","Item Pool: Boss Room, Demon Beggar","+0.2 Speed Up","Counts as 1 of 3 syringe items needed towards the Spun transformation","","",""
"Mini Mush","ItemID: 71","""Speed + range up""","Quality: 2","+0.3 Speed Up","Type: Passive","Item Pool: Item Room","+1.5 Range Up","Causes Isaac to shrink in size (including hitbox slightly)","Can be dropped when exploding mushrooms in the environment that are usually found in the Caves/Catacombs and in secret rooms","",""
"Rosary","ItemID: 72","""Faith up""","Quality: 2","+3 Soul Hearts","Type: Passive","Item Pool: Item Room, Angel Room","+0.5 Tears Up","Adds several instances of The Bible item into all item pools","Counts as 1 of 3 angel items needed towards the Seraphim transformation","",""
"Cube of Meat","ItemID: 73","""Gotta meat em all""","Quality: 2","An orbital which blocks shots and damages enemies it comes into contact with for 7 damage per tick","Type: Passive","Item Pool: None (Horsemen boss only)","Exclusively drops from one of the horsemen bosses","2 cubes of meat transform the orbital into a meat head which fires blood tears which deal 3.5 damage each","3 cubes of meat transform it into a meat boy familiar that walks around and deals 3.5 contact damage per tick to enemies","Unlock this item by beating Mom for the first time",""
"A Quarter","ItemID: 74","""+25 coins""","Quality: 0","+25 Coins","Type: Passive","Item Pool: Devil Room, Gold Chest, Super Greed Miniboss","Has a very small chance to drop after destroying one of the pots that appear in the Basement and Cellar floors","Has a chance to drop from the Super Greed miniboss fight","","Unlock this item by beating Mom's Heart 8 times",""
"PhD","ItemID: 75","""Better pills""","Quality: 2","Converts most negative pills into their positive counterparts, e.g. Stat Down becomes Stat Up. Bad Trip becomes Balls of Steel. Amnesia becomes I Can See Forever etc","Type: Passive","Item Pool: Item Room, Shop","Pills are identified before using them","Drops one pill on pickup","Heals for 2 full red hearts","",""
"X-Ray Vision","ItemID: 76","""I've seen everything""","Quality: 2","Reveals the entrance to secret rooms and automatically opens the hole, removing the need for bombs to enter","Type: Passive","Item Pool: Item Room","","","","",""
"My Little Unicorn","ItemID: 77","""Temporary badass""","Quality: 1","Gives Isaac invincibility and +0.28 Speed for 6 seconds","Type: Active","Recharge Time: 4 rooms","While active you cannot fire tears, but running into enemies will deal 40 contact damage per second","Allows free hits on the Blood Donation machines and devil beggars","","","Item Pool: Item Room"
"Book of Revelations","ItemID: 78","""Reusable soul protection""","Quality: 3","Upon use, gives Isaac an extra Soul heart","Type: Active","Recharge Time: 6 rooms","Using this item gives you a higher chance of finding a horsemen boss at the end of the floor","+17.5% chance of a Devil Deal opening after the boss fight","Counts as 1 of 3 book items needed towards the Bookworm transformation","Unlock this item by beating one of the horsemen bosses for the first time","Item Pool: Item Room, Library"
"The Mark","ItemID: 79","""DMG up""","Quality: 3","+1.0 Damage Up","Type: Passive","Item Pool: Curse Room, Devil Room, Demon Beggar","+0.2 Speed Up","+1 Soul Heart","Counts as 1 of 3 evil items needed towards the Leviathan transformation","",""
"The Pact","ItemID: 80","""DMG + tears up""","Quality: 3","+0.5 Damage Up","Type: Passive","Item Pool: Devil Room, Curse Room, Demon Beggar","+0.7 Tears Up","+2 Black Hearts","Counts as 1 of 3 evil items needed towards the Leviathan transformation","",""
"Dead Cat","ItemID: 81","""9 lives""","Quality: 3","Isaac's health is set to 1 and he also gains 9 extra lives","Type: Passive","Item Pool: Devil Room, Curse Room, Red Chest, Super Pride Miniboss","Each time Isaac dies, he will respawn with 1 Health","Has a chance to drop from the Super Pride mini boss","The floating Dead Cat head that follows you will disappear when you are on your last life (Very useful for The Lost)","",""
"Lord of the Pit","ItemID: 82","""Demon wings""","Quality: 3","Gives Isaac demon wings and the ability to fly","Type: Passive","Item Pool: Devil Room, Demon Beggar","+0.3 Speed Up","Counts as 1 of 3 evil items needed towards the Leviathan transformation.","","",""
"The Nail","ItemID: 83","""Temporary demon form""","Quality: 2","Each use of this item gives +0.7 Damage Up, -0.18 Speed Down and the ability to destroy most obstacles for the current room.","Type: Active","Recharge Time: 6 rooms","Each use also gives half a black heart, however this is stays between rooms unlike the other effects","Allows Isaac to deal 40 contact damage to enemies for the current room. Does not prevent Isaac from taking contact damage","All the above effects are only active when the item is used for the current room","Unlock this item by beating the Boss Rush with Azazel","Item Pool: Devil Room, Demon Beggar"
"We Need To Go Deeper","ItemID: 84","""Reusable level skip""","Quality: 2","Spawns a trapdoor at Isaac's feet which allows him to travel to the next floor","Type: Active","Recharge Time: 6 rooms","Digging in certain spots with objects or markings on the floor will guarantee a crawlspace once per floor","In Sheol, Cathedral, Chest and Dark Room this item either opens a Crawl Space, or does nothing","Cannot spawn a trapdoor directly infront of a secret room entrance","","Item Pool: Secret Room, Devil Room"
"Deck of Cards","ItemID: 85","""Reusable card generator""","Quality: 2","Gives Isaac a random tarot card on use","Type: Active","Recharge Time: 6 rooms","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","","","","Item Pool: Item Room, Shop"
"Monstro's Tooth","ItemID: 86","""Summon monstro""","Quality: 1","When used, spawns a Monstro which will jump on a random enemy in the room, dealing 120 damage and destroying nearby obstacles","Type: Active","Recharge Time: 3 rooms","","","","Unlock this item by beating the Basement II for the first time","Item Pool: Item Room"
"Loki's Horns","ItemID: 87","""Cross tears""","Quality: 1","Everytime you fire a tear, there is a chance that you will also fire three more tears in all cardinal directions","Type: Passive, Tear Modifier","Item Pool: Item Room, Demon Beggar","The chance to fire 4-way tears is affected by your luck stat and at +15 Luck it will activate every time","At +0 luck the effect has a 30% chance to activate","","Unlock this item by beating Lokii for the first time",""
"Little Chubby","ItemID: 88","""Attack buddy""","Quality: 2","A familiar that follows Isaac and charges forwards, dealing 3.5 damage per tick to any enemies it comes into contact with","Type: Passive, Familiar","Item Pool: Item Room","","","","Unlock this item by beating the Caves II for the first time",""
"Spider Bite","ItemID: 89","""Slow effect""","Quality: 2","Tears now have a chance of slowing enemies and their projectiles for 2.5 seconds","Type: Passive","Item Pool: Item Room","The chance to slow enemies is affected by your luck stat and at +15 Luck it will activate every time","","","",""
"The Small Rock","ItemID: 90","""DMG up""","Quality: 3","+1.0 Damage Up","Type: Passive","Item Pool: None (Tinted rock only)","+0.2 Tears Up","-0.2 Speed Down","Has a chance to drop when exploding a tinted rock","Unlock this item by destroying 100 tinted rocks",""
"Spelunker Hat","ItemID: 91","""See-through doors""","Quality: 2","Reveals adjacent rooms up to 2 rooms away, this includes revealing if you're next to a Secret Room or Super Secret Rooms","Type: Passive","Item Pool: Item Room","Gives Isaac a slight glow when Curse of Darkness is active","Blocks damage from projectiles falling from above","","",""
"Super Bandage","ItemID: 92","""+2 hearts""","Quality: 2","+1 HP Up","Type: Passive","Item Pool: Item Room, Boss Room","+2 Soul Hearts","Heals one red heart container when picked up","","Unlock this item by making a Super Bandage Girl",""
"The Gamekid","ItemID: 93","""Temporary Man-Pac""","Quality: 1","When used Isaac transforms into pacman, which makes him invincible for 6 seconds and does 40 contact damage to enemies per chomp","Type: Active","Recharge Time: 4 rooms","Everytime you 'eat' 2 enemies, you regain 1/2 heart of red health","You can't shoot tears while the effect is active","","Unlock this item by visiting 10 arcades","Item Pool: Item Room"
"Sack of Pennies","ItemID: 94","""Gives money""","Quality: 1","A bag that floats around following Isaac and drops a random coin every 2 rooms","Type: Passive, Familiar","Item Pool: Item Room","","","","Unlock this item by beating Isaac with Cain",""
"Robo-Baby","ItemID: 95","""Friends till the bzzzttt""","Quality: 1","A familiar which follows Isaac and shoots lasers, similar to the Technology item","Type: Passive, Familiar","Item Pool: Item Room","Robo-Baby's laser is spectral and piercing (It will pass through rocks and objects in the environment)","Robo-Baby's lasers deal 3.5 damage per hit","Counts as 1 of 3 familiar items needed towards the Conjoined transformation.","",""
"Little C.H.A.D","ItemID: 96","""Gives kisses""","Quality: 2","A familiar which follows Isaac and drops half a red heart every 3 rooms","Type: Passive, Familiar","Item Pool: Item Room, C.H.A.D. Boss","","","","Unlock this item by beating the Caves 30 times and defeating C.H.A.D",""
"The Book of Sin","ItemID: 97","""Reusable item generator""","Quality: 2","Spawns a random pickup on the floor","Type: Active","Recharge Time: 4 rooms","Any pickups are possible from this item, including Bombs, hearts, keys, coins, pills, batteries, tarot cards, runes etc","Doesn't produce microbatteries, only regular sized ones and rarely golden/mega batteries","Counts as 1 of 3 book items needed towards the Bookworm transformation","Unlock this item by beating each of the Seven Sins once","Item Pool: Item Room, Library, Devil Room"
"The Relic","ItemID: 98","""Soul generator""","Quality: 3","A blue cross that follows Isaac and drops a soul heart every 7 or 8 rooms","Type: Passive, Familiar","Item Pool: Item Room, Angel Room","","","","Unlock this item by beating the Isaac boss with Maggy",""
"Little Gish","ItemID: 99","""Sticky friend""","Quality: 2","A familiar that follows Isaac and fires black tar tears, which slow enemy movement and projectile speed for a few seconds","Type: Passive, Familiar","Item Pool: Item Room, Gish Boss","Little Gish's tears do 3.5 damage","Little Gish fires tears at a rate of 1 tear per second","A Guaranteed drop from the Gish boss fight","Unlock this item by beating the Depths 20 times and killing the Gish boss",""
"Little Steven","ItemID: 100","""Psychic friend""","Quality: 2","A familiar that follows Isaac and fires homing tears that deal 3.5 damage each","Type: Passive, Familiar","Item Pool: Item Room, Steven Boss","Has a high chance to drop from the Steven boss fight","Little Steven fires tears at a rate of 1 tear per second with a slightly longer range than other familiars","Counts as 1 of 3 familiar items needed towards the Conjoined transformation","Unlock this item by killing the Steven boss for the first time",""
"The Halo","ItemID: 101","""All stats up""","Quality: 2","+1 HP Up","Type: Passive","Item Pool: Item Room, Angel Room","+0.3 Damage Up","+0.2 Tears Up","+0.38 Range Up","Unlock this item by killing Mom (Mom's Foot or Mom's Heart) using The Bible",""
"Mom's Bottle of Pills","ItemID: 102","""Reusable pill generator""","Quality: 1","When used, gives Isaac a random pill","Type: Active","Recharge Time: 6 rooms","Counts as 1 of 3 mom items needed towards the Mom transformation","","","","Item Pool: Item Room, Shop, Challenge Room, Beggar, Demon Beggar, Mom's Chest"
"The Common Cold","ItemID: 103","""Poison damage""","Quality: 1","Tears now have a random chance to apply a poison effect, causing double your tear damage per tick to enemies over time","Type: Passive","Item Pool: Item Room","The chance to fire poison shots is affected by your luck stat and at +12 Luck it will activate every time","","","",""
"The Parasite","ItemID: 104","""Split shot""","Quality: 3","Isaac's tears now split into two upon contact with enemies or the environment","Type: Passive","Item Pool: Item Room","Tears that split off from the main tear do less damage (tear damage * 0.5)","Tears can keep splitting if they still have range and damage above 1","","Unlock this item by collecting two of the following items: Bob's Rotten Head, Dead Cat, Cricket's Head, Tammy's Head",""
"The D6","ItemID: 105","""Reroll your destiny""","Quality: 4","When used, replaces all pedestal items in the current room with another random item. Re-rolled items pick from the current room's item pool","Type: Active","Recharge Time: 6 rooms","Isaac starts with this item after it is unlocked","","","Unlock this item by defeating the Isaac boss with Blue Baby","Item Pool: Item Room"
